CYCLIC
INTERPOLATION LINEAR
TIME_UNITS yr
DATA_UNITS Pa
0.597260274 5093.21918455528
0.6 5045.71687566226
0.602739726 5070.22417937278
0.605479452 4910.30397923398
0.608219178 4794.62844277077
0.610958904 4726.27747772009
0.61369863 4749.3092275721
0.616438356 4728.44514536248
0.619178082 4677.03199131111
0.621917808 4599.93140523486
0.624657534 4516.44955740826
0.62739726 4469.20875827356
0.630136986 4467.46107112759
0.632876712 4508.98629625004
0.635616438 4463.01823315954
0.638356164 4363.63670742687
0.64109589 4396.81498550269
0.643835616 4387.50294427979
0.646575342 4352.2311119853
0.649315068 4295.49803243799
0.652054795 4240.22500186682
0.654794521 4237.70481779261
0.657534247 4228.84994055132
0.660273973 4201.32622310907
0.663013699 4269.95646745696
0.665753425 4208.80215890478
0.668493151 4147.45884565322
0.671232877 4126.3589565705
0.673972603 4107.29131630728
0.676712329 4077.40427129408
0.679452055 4069.22165678301
0.682191781 4079.1184919895
0.684931507 4071.38226412005
0.687671233 4090.3995395523
0.690410959 4133.10784114947
0.693150685 4205.4013500339
0.695890411 4074.57834940369
0.698630137 4146.88962488402
0.701369863 4417.73727759731
0.704109589 4323.13057103906
0.706849315 4193.82746692488
0.709589041 4160.90067254683
0.712328767 4067.42533431256
0.715068493 4107.19373916287
0.717808219 4026.1904361789
0.720547945 4064.05505139657
0.723287671 4050.77582367769
0.726027397 4131.44198517563
0.728767123 4050.50233372864
0.731506849 4046.01316949027
0.734246575 4054.05212629109
0.736986301 4153.69391125633
0.739726027 4089.85566842827
0.742465753 4161.43869678921
0.747945205 3847.98098683134
0.750684932 3846.48251962603
0.753424658 3864.87302410843
0.756164384 3765.98560967509
0.75890411 3754.48536880796
0.761643836 3732.96840501325
0.764383562 3740.12302762618
0.767123288 3743.48278161001
0.769863014 3751.61034646044
0.77260274 3757.66714019864
0.775342466 3854.34639103626
0.778082192 3835.71654050936
0.780821918 3788.27149770299
0.783561644 3832.80044660175
0.78630137 3915.46071407249
0.789041096 3877.59862994252
0.791780822 3867.25297449242
0.794520548 3853.0012244124
