# x_m, elev_m
1.611206751687921894e+02,2.823260287664920725e+03
1.615214728682170460e+02,2.823159804618562703e+03
1.619222705676419025e+02,2.823059321572204681e+03
1.623230682670667591e+02,2.822958838525846659e+03
1.627238659664916156e+02,2.822858355479488637e+03
1.631246636659164722e+02,2.822757872433130615e+03
1.635254613653413287e+02,2.822657389386772593e+03
1.639262590647661852e+02,2.822556906340414571e+03
1.643270567641910418e+02,2.822456423294056094e+03
1.647278544636158983e+02,2.822324117859632679e+03
1.651286521630407549e+02,2.822129752436593662e+03
1.655294498624656114e+02,2.821935387013554646e+03
1.659302475618904680e+02,2.821741021590515629e+03
1.663310452613153245e+02,2.821546656167476613e+03
1.667318429607401811e+02,2.821352290744437596e+03
1.671326406601650376e+02,2.821157925321399034e+03
1.675334383595898942e+02,2.820963559898360018e+03
1.679342360590147507e+02,2.820769194475321001e+03
1.683350337584396073e+02,2.820574829052281984e+03
1.687358314578644638e+02,2.820380463629242968e+03
1.691366291572893203e+02,2.820186098206204406e+03
1.695374268567141769e+02,2.819991732783165389e+03
1.699382245561390334e+02,2.819821203226739726e+03
1.703390222555638900e+02,2.819650888080439472e+03
1.707398199549887465e+02,2.819480572934138763e+03
1.711406176544136031e+02,2.819310257787838509e+03
1.715414153538384596e+02,2.819139942641537800e+03
1.719422130532633162e+02,2.818969627495237546e+03
1.723430107526881727e+02,2.818799312348936837e+03
1.727438084521130293e+02,2.818628997202636583e+03
1.731446061515378858e+02,2.818458682056335874e+03
1.735454038509627424e+02,2.818288366910035620e+03
1.739462015503875989e+02,2.818118051763734911e+03
1.743469992498124554e+02,2.817947736617434657e+03
1.747477969492373120e+02,2.817799518143082423e+03
1.751485946486621685e+02,2.817681055768868191e+03
1.755493923480870251e+02,2.817562593394653959e+03
1.759501900475118816e+02,2.817444131020439727e+03
1.763509877469367382e+02,2.817325668646225495e+03
1.767517854463615947e+02,2.817207206272011263e+03
1.771525831457864513e+02,2.817088743897797031e+03
1.775533808452113078e+02,2.816970281523582798e+03
1.779541785446361644e+02,2.816851819149368566e+03
1.783549762440610209e+02,2.816733356775154334e+03
1.787557739434858775e+02,2.816614894400940102e+03
1.791565716429107340e+02,2.816496432026725870e+03
1.795573693423355905e+02,2.816377969652511638e+03
1.799581670417604471e+02,2.816260426546091821e+03
1.803589647411853036e+02,2.816143167568608987e+03
1.807597624406101602e+02,2.816025908591125699e+03
1.811605601400350167e+02,2.815908649613642865e+03
1.815613578394598733e+02,2.815791390636159576e+03
1.819621555388847298e+02,2.815674131658676288e+03
1.823629532383095864e+02,2.815556872681193454e+03
1.827637509377344429e+02,2.815439613703710165e+03
1.831645486371592995e+02,2.815322354726227331e+03
