# x_m, elev_m
6.112742642642642750e+02,2.757007916061369087e+03
6.128786586586586509e+02,2.756816878181915399e+03
6.144830530530530268e+02,2.756625840302461711e+03
6.160874474474474027e+02,2.756511883622579717e+03
6.176918418418417787e+02,2.756438463266290455e+03
6.192962362362362683e+02,2.756365042910001193e+03
6.209006306306306442e+02,2.756281614140412785e+03
6.225050250250250201e+02,2.756189046567688820e+03
6.241094194194193960e+02,2.756096478994964400e+03
6.257138138138137720e+02,2.756188458963198173e+03
6.273182082082081479e+02,2.756466549778062472e+03
6.289226026026026375e+02,2.756744640592926771e+03
6.305269969969970134e+02,2.756943174561797605e+03
6.321313913913913893e+02,2.756982683555708263e+03
6.337357857857857653e+02,2.757022192549619376e+03
6.353401801801801412e+02,2.757031877913642347e+03
6.369445745745745171e+02,2.756970690652515259e+03
6.385489689689690067e+02,2.756909503391388171e+03
6.401533633633633826e+02,2.756838485718865286e+03
6.417577577577577586e+02,2.756725817573191307e+03
6.433621521521521345e+02,2.756613149427517783e+03
6.449665465465465104e+02,2.756499723126958088e+03
6.465709409409408863e+02,2.756378081093863329e+03
6.481753353353352622e+02,2.756256439060769026e+03
6.497797297297297519e+02,2.756134797027674267e+03
6.513841241241241278e+02,2.756251013566622532e+03
6.529885185185185037e+02,2.756376995299629016e+03
6.545929129129128796e+02,2.756505885116461286e+03
6.561973073073072555e+02,2.756754930814487579e+03
6.578017017017016315e+02,2.757003976512513873e+03
6.594060960960961211e+02,2.757253022210540166e+03
6.610104904904904970e+02,2.757605276257480909e+03
6.626148848848848729e+02,2.758003702485041231e+03
6.642192792792792488e+02,2.758402128712601098e+03
6.658236736736736248e+02,2.758653256170960049e+03
6.674280680680680007e+02,2.758807714459645922e+03
6.690324624624624903e+02,2.758962172748332250e+03
6.706368568568568662e+02,2.759101489951960502e+03
6.722412512512512421e+02,2.759228952533711436e+03
6.738456456456456181e+02,2.759356415115461914e+03
6.754500400400399940e+02,2.759504618987533831e+03
6.770544344344343699e+02,2.759673469072726220e+03
6.786588288288288595e+02,2.759842319157918610e+03
6.802632232232232354e+02,2.759997413752789726e+03
6.818676176176176114e+02,2.760128293518348983e+03
6.834720120120119873e+02,2.760259173283908694e+03
6.850764064064063632e+02,2.760382477511068373e+03
6.866808008008007391e+02,2.760480366125735145e+03
6.882851951951952287e+02,2.760578254740402372e+03
6.898895895895896047e+02,2.760694731330375816e+03
6.914939839839839806e+02,2.760905332026537053e+03
6.930983783783783565e+02,2.761115932722698744e+03
6.947027727727727324e+02,2.761326512138144608e+03
6.963071671671671083e+02,2.761536426863659017e+03
6.979115615615615980e+02,2.761746341589173426e+03
6.995159559559559739e+02,2.761956256314688289e+03
7.011203503503503498e+02,2.762099916139061406e+03
7.027247447447447257e+02,2.762238934164569855e+03
7.043291391391391016e+02,2.762377952190078759e+03
7.059335335335334776e+02,2.762487158345845728e+03
7.075379279279278535e+02,2.762587432995495419e+03
7.091423223223223431e+02,2.762687707645145110e+03
7.107467167167167190e+02,2.762724413539121997e+03
7.123511111111110949e+02,2.762730923558981885e+03
7.139555055055054709e+02,2.762737433578841319e+03
7.155598998998998468e+02,2.762871743632399102e+03
7.171642942942942227e+02,2.763089223586189291e+03
7.187686886886887123e+02,2.763306703539979480e+03
7.203730830830830882e+02,2.763524183493769669e+03
7.219774774774774642e+02,2.763741663447559858e+03
7.235818718718718401e+02,2.763959143401350047e+03
7.251862662662662160e+02,2.764199811583213432e+03
7.267906606606605919e+02,2.764483106649910496e+03
7.283950550550550815e+02,2.764766401716607561e+03
7.299994494494494575e+02,2.765066971234190532e+03
7.316038438438438334e+02,2.765448738805350786e+03
7.332082382382382093e+02,2.765830506376511494e+03
7.348126326326325852e+02,2.766217660347158017e+03
